"","Year","ENGINE.SIZE","CYLINDERS","TRANSMISSION","FUEL","FUEL.CONSUMPTION","COEMISSIONS","INFO"
"610",2000,1.9,4,"M5","D",6.7,165,"VOLKSWAGEN NEW BEETLE TDI DIESEL SUBCOMPACT"
"611",2000,1.8,4,"A5","Z",13.2,258,"VOLKSWAGEN PASSAT MID-SIZE"
"612",2000,1.8,4,"M5","Z",11.2,225,"VOLKSWAGEN PASSAT MID-SIZE"
"613",2000,2.8,6,"A5","Z",14.7,288,"VOLKSWAGEN PASSAT MID-SIZE"
"614",2000,2.8,6,"M5","Z",13.4,262,"VOLKSWAGEN PASSAT MID-SIZE"
"615",2000,1.8,4,"A5","Z",13.2,258,"VOLKSWAGEN PASSAT WAGON STATION WAGON - MID-SIZE"
"616",2000,1.8,4,"M5","Z",11.2,225,"VOLKSWAGEN PASSAT WAGON STATION WAGON - MID-SIZE"
"617",2000,2.8,6,"A5","Z",14.7,288,"VOLKSWAGEN PASSAT WAGON STATION WAGON - MID-SIZE"
"618",2000,2.8,6,"M5","Z",13.4,262,"VOLKSWAGEN PASSAT WAGON STATION WAGON - MID-SIZE"
"619",2000,2.3,5,"A4","Z",14.2,285,"VOLVO C70 CONVERTIBLE TURBO SUBCOMPACT"
"620",2000,2.3,5,"M5","Z",13.4,269,"VOLVO C70 CONVERTIBLE TURBO SUBCOMPACT"
"621",2000,2.4,5,"A4","Z",13.9,278,"VOLVO C70 CONVERTIBLE TURBO SUBCOMPACT"
"622",2000,2.3,5,"A4","Z",13.9,274,"VOLVO C70 TURBO COMPACT"
"623",2000,2.3,5,"M5","Z",13,260,"VOLVO C70 TURBO COMPACT"
"624",2000,2.4,5,"A4","Z",13.6,274,"VOLVO C70 TURBO COMPACT"
"625",2000,2.4,5,"A5","Z",13.2,262,"VOLVO S70 MID-SIZE"
"626",2000,2.4,5,"M5","Z",12.6,251,"VOLVO S70 MID-SIZE"
"627",2000,2.4,5,"A4","Z",14.4,288,"VOLVO S70 AWD TURBO MID-SIZE"
"628",2000,2.4,5,"A4","Z",13.6,274,"VOLVO S70 GLT TURBO MID-SIZE"
"629",2000,2.3,5,"A4","Z",13.9,274,"VOLVO S70 T5 TURBO MID-SIZE"
"630",2000,2.3,5,"M5","Z",13,260,"VOLVO S70 T5 TURBO MID-SIZE"
"631",2000,2.9,6,"A4","Z",14.5,285,"VOLVO S80 2.9 MID-SIZE"
"632",2000,2.8,6,"AS4","Z",15.1,297,"VOLVO S80 T-6 MID-SIZE"
"633",2000,2.4,5,"A5","Z",13.2,262,"VOLVO V70 STATION WAGON - MID-SIZE"
"634",2000,2.4,5,"M5","Z",12.6,251,"VOLVO V70 STATION WAGON - MID-SIZE"
"635",2000,2.4,5,"A4","Z",14.4,288,"VOLVO V70 AWD TURBO STATION WAGON - MID-SIZE"
"636",2000,2.4,5,"A4","Z",13.6,274,"VOLVO V70 GLT TURBO STATION WAGON - MID-SIZE"
"637",2000,2.3,5,"A4","Z",13.9,274,"VOLVO V70 T5 TURBO STATION WAGON - MID-SIZE"
"638",2000,2.3,5,"M5","Z",13,260,"VOLVO V70 T5 TURBO STATION WAGON - MID-SIZE"
"639",2000,2.4,5,"A5","Z",14.7,299,"VOLVO V70R AWD TURBO STATION WAGON - MID-SIZE"
